source,target
ALEXANDER NIX,BRAD PARSCALE
ALLEN WEISSELBERG,JACK WEISSELBERG
ANAR MAMMADOV,ZIYA MAMMADOV
ANDREW BREMBERG,MIKE FERGUSON
ANDREW BREMBERG,MITCH MCCONNELL
ANDREW BREMBERG,SCOTT WALKER
ANDY PUZDER,WILLIAM P. FOLEY
ANTHONY SCARAMUCCI,KIRILL DMITRIEV
AVRAM LEBOR,JARED KUSHNER
BEN CARSON,BARRY BENNETT
BILL STEPIEN,KEVIN MARINO
CARTER PAGE,DONALD J. TRUMP
CHARLES KUSHNER,ALAN HAMMER
CHARLES KUSHNER,DARA ORBACH
CHARLES KUSHNER,ESTHER KUSHNER
CHARLES KUSHNER,JIM MCGREEVEY
CHARLES KUSHNER,MURRAY KUSHNER
CHARLES KUSHNER,NICOLE KUSHNER MEYER
CHARLES KUSHNER,SERYL KUSHNER
CHLOE MURDOCH,IVANKA TRUMP
CHRIS CHRISTIE,BILL STEPIEN
CHRIS CHRISTIE,DAVID WILDSTEIN
DANIEL RIDLOFF,ELVIRA KUDRYASHOVA
DAVID S. CORDISH,REED S. CORDISH
DONALD J. TRUMP,ADO MACHIDA
DONALD J. TRUMP,AJIT PAI
DONALD J. TRUMP,ALEX SHNAIDER
DONALD J. TRUMP,ALEXANDER NIX
DONALD J. TRUMP,ANDREW BREMBERG
DONALD J. TRUMP,ANDY PUZDER
DONALD J. TRUMP,ANTHONY SCARAMUCCI
DONALD J. TRUMP,ARAS AGALAROV
DONALD J. TRUMP,BARRY BENNETT
DONALD J. TRUMP,BEN CARSON
DONALD J. TRUMP,BETSY DEVOS
DONALD J. TRUMP,BILL STEPIEN
DONALD J. TRUMP,BRAD PARSCALE
DONALD J. TRUMP,BRIAN BAUDREAU
DONALD J. TRUMP,CARL C. ICAHN
DONALD J. TRUMP,CHRISTINE CICCONE
DONALD J. TRUMP,CHRISTOPHER RUDDY
DONALD J. TRUMP,COREY LEWANDOWSKI
DONALD J. TRUMP,CURTIS DUBAY
DONALD J. TRUMP,DAN COATS
DONALD J. TRUMP,DAVID S. CORDISH
DONALD J. TRUMP,DAVID SHULKIN
DONALD J. TRUMP,DINA POWELL
DONALD J. TRUMP,DON MCGAHN
DONALD J. TRUMP,DONALD TRUMP JR.
DONALD J. TRUMP,EDWIN FEULNER
DONALD J. TRUMP,EDWIN MEESE
DONALD J. TRUMP,ELAINE CHAO
DONALD J. TRUMP,ELENA GORLOVA
DONALD J. TRUMP,ELON MUSK
DONALD J. TRUMP,EMIN AGALAROV
DONALD J. TRUMP,ERIC TRUMP
DONALD J. TRUMP,ERIC UELAND
DONALD J. TRUMP,FELIPE YARYURA
DONALD J. TRUMP,GARY COHN
DONALD J. TRUMP,GINNI ROMETTY
DONALD J. TRUMP,INDRA NOOYI
DONALD J. TRUMP,IVANKA TRUMP
DONALD J. TRUMP,JAMES MATTIS
DONALD J. TRUMP,JAMIE DIMON
DONALD J. TRUMP,JARED KUSHNER
DONALD J. TRUMP,JASON D. GREENBLATT
DONALD J. TRUMP,JASON D. MEISTER
DONALD J. TRUMP,JEFF SESSIONS
DONALD J. TRUMP,JESSICA DITTO
DONALD J. TRUMP,JOE HAGIN
DONALD J. TRUMP,JOHN DESTEFANO
DONALD J. TRUMP,JOHN F. KELLY
DONALD J. TRUMP,JOHN GRAY
DONALD J. TRUMP,JOHN MCENTEE
DONALD J. TRUMP,KALPESH MEHTA
DONALD J. TRUMP,KATHLEEN TROIA MCFARLAND
DONALD J. TRUMP,KEITH SCHILLER
DONALD J. TRUMP,KELLYANNE CONWAY
DONALD J. TRUMP,LINDA BEAN
DONALD J. TRUMP,LINDA MCMAHON
DONALD J. TRUMP,LINDSAY WALTERS
DONALD J. TRUMP,MANGAL PRABHAT LODHA
DONALD J. TRUMP,MARC SHORT
DONALD J. TRUMP,MARY T. BARRA
DONALD J. TRUMP,MARYANNE TRUMP BARRY
DONALD J. TRUMP,MEHMET ALI YALCINDAG
DONALD J. TRUMP,MELANIA TRUMP
DONALD J. TRUMP,MICHAEL FLYNN
DONALD J. TRUMP,MICHAEL POMPEO
DONALD J. TRUMP,MICK MULVANEY
DONALD J. TRUMP,MIKE BASELICE
DONALD J. TRUMP,NIKKI HALEY
DONALD J. TRUMP,OLEG MISERVA
DONALD J. TRUMP,OMAROSÉ ONEE MANIGAULT
DONALD J. TRUMP,PAUL MANAFORT
DONALD J. TRUMP,PETER NAVARRO
DONALD J. TRUMP,PETER THIEL
DONALD J. TRUMP,PRINCE ALWALEED BIN TALALTHE
DONALD J. TRUMP,RAJ SHAH
DONALD J. TRUMP,REBEKAH MERCER
DONALD J. TRUMP,RECEP TAYYIP ERDOGAN
DONALD J. TRUMP,REED S. CORDISH
DONALD J. TRUMP,REINCE PRIEBUS
DONALD J. TRUMP,REX TILLERSON
DONALD J. TRUMP,RICHARD LEFRAK
DONALD J. TRUMP,RICK DEARBORN
DONALD J. TRUMP,RICK PERRY
DONALD J. TRUMP,ROBERT A. IGER
DONALD J. TRUMP,ROBERT LIGHTHIZER
DONALD J. TRUMP,ROBERT MERCER
DONALD J. TRUMP,"ROGER J. STONE, JR."
DONALD J. TRUMP,ROGER KHAFIF
DONALD J. TRUMP,RUPERT MURDOCH
DONALD J. TRUMP,RUSS VOUGHT
DONALD J. TRUMP,RYAN ZINKE
DONALD J. TRUMP,SAM CLOVIS
DONALD J. TRUMP,SAM NUNBERG
DONALD J. TRUMP,SCOTT PRUITT
DONALD J. TRUMP,SEAN SPICER
DONALD J. TRUMP,SEBASTIAN GORKA
DONALD J. TRUMP,SERGEY I. KISLYAK
DONALD J. TRUMP,SHERI A. DILLON
DONALD J. TRUMP,STEPHEN A. SCHWARZMAN
DONALD J. TRUMP,STEPHEN B. MEISTER
DONALD J. TRUMP,STEPHEN BANNON
DONALD J. TRUMP,STEPHEN MILLER
DONALD J. TRUMP,STEVEN MNUCHIN
DONALD J. TRUMP,STEVEN ROTH
DONALD J. TRUMP,TERRY BRANSTAD
DONALD J. TRUMP,THOMAS J. BARRACK JR.
DONALD J. TRUMP,TOM BOSSERT
DONALD J. TRUMP,TOM PRICE
DONALD J. TRUMP,TRAVIS KALANICK
DONALD J. TRUMP,VICTOR PINCHUK
DONALD J. TRUMP,WELLS GRIFFITH
DONALD J. TRUMP,WILBUR ROSS
DONALD TRUMP JR.,ANDRIY ZAIKA
DONALD TRUMP JR.,BERNARD R. DIAMOND
DONALD TRUMP JR.,BONNIE HAYDON
DONALD TRUMP JR.,FELIPE YARYURA
DONALD TRUMP JR.,JASON D. GREENBLATT
DONALD TRUMP JR.,RUSSELL FLICKER
DONALD TRUMP JR.,VANESSA TRUMP
DONALD TRUMP JR.,VIKTOR TKACHUK
ELAINE CHAO,ANGELA CHAO
ELAINE CHAO,CHRISTINE CHAO
ELVIRA KUDRYASHOVA,VIKTOR KHRAPUNOV
ERIC TRUMP,FELIPE YARYURA
ERIK PRINCE,BETSY DEVOS
ERIK PRINCE,STEPHEN BANNON
FELIX SATER,ELVIRA KUDRYASHOVA
GEORGE SOROS,STEVEN MNUCHIN
GEORGE T. CONWAY III,KELLYANNE CONWAY
GRACE MURDOCH,IVANKA TRUMP
ILYAS KHRAPUNOV,VIKTOR KHRAPUNOV
IVANKA TRUMP,ANDRIY ZAIKA
IVANKA TRUMP,DINA POWELL
