id
"ROGER J. STONE, JR."
AJIT PAI
BETSY DEVOS
"RICHARD MARVIN ""DICK"" DEVOS JR."
ROBERT MERCER
ARTHUR G. COHEN
LINDSEY REYNOLDS
JAMES S.C. CHAO
JOHN MCENTEE
STEPHEN MILLER
ROBERT A. IGER
LINDA MCMAHON
RAJ SHAH
CARL C. ICAHN
DMITRY FIRTASH
STEPHEN BANNON
MARYANNE TRUMP BARRY
JEN PAVLIK
ANAR MAMMADOV
CURTIS DUBAY
ANITA THIGPEN PERRY
JULIAN ASSANGE
CHLOE MURDOCH
ESTHER KUSHNER
VICTOR PINCHUK
KATIE WALSH
TOM BOSSERT
VIKTOR TKACHUK
DAVID SHULKIN
EDWIN MEESE
ROMA DOWNEY
SAM NUNBERG
ELENA GORLOVA
JOSE E.B. ANTONIO
ABDUL RAHMAN AL-ASSIR
RICHARD LEFRAK
DAN COATS
TRAVIS KALANICK
CHRISTINE CHAO
THOMAS J. BARRACK JR.
SYLVAIN MIROCHNIKOFF
JIM MCGREEVEY
JAMIE DIMON
STEPHANIE WINSTON WOLKOFF
ALEX SHNAIDER
JOHN GRAY
TOM PRICE
"JOSE ROBERTO ""ROBBIE"" ANTONIO"
RYAN DOHERTY
CATHERINE BRAY GRIFFITH
JOHN DESTEFANO
MARTIN SORRELL
JARED KUSHNER
GEORGE SOROS
TIAH JOO KIM
ELON MUSK
GINNI ROMETTY
NIKKI HALEY
STEPHEN B. MEISTER
STEVEN MNUCHIN
ALEXANDER NOVAK
RUPERT MURDOCH
ALEXANDER NIX
WELLS GRIFFITH
JACK WEISSELBERG
CHRIS CHRISTIE
JAMES MATTIS
SEAN SPICER
ZIYA MAMMADOV
DONALD TRUMP JR.
MICK MULVANEY
VLADIMIR PUTIN
MARK BURNETT
EDWIN FEULNER
MANGAL PRABHAT LODHA
SUSAN POMPEO
ARAS AGALAROV
COREY LEWANDOWSKI
KEN KURSON
WILLIAM P. FOLEY
AVRAM LEBOR
DMYTRO FIRTASH
SETYA NOVANTO
TERRY BRANSTAD
ERIC UELAND
WENDI DENG MURDOCH
BEN CARSON
JEFF SESSIONS
FELIX SATER
ROBERT LIGHTHIZER
RECEP TAYYIP ERDOGAN
SCOTT PRUITT
FELIPE YARYURA
SERGEY I. KISLYAK
BERNARD R. DIAMOND
CUI TIANKAI
PETER HOLT
HARY TANOESOEDIBJO
DAVID HOROWITZ
ILYAS KHRAPUNOV
YURY ZAYTSEV
TUCKER CARLSON
KIRILL DMITRIEV
KEITH SCHILLER
MICHAEL FLYNN
EDWARD LAMPERT
LINDSAY WALTERS
MELANIA TRUMP
RICK PERRY
REED S. CORDISH
PRINCE ALWALEED BIN TALALTHE
XI JINPING
JESSICA DITTO
ANDREW BREMBERG
PETER NAVARRO
LINDA BEAN
MARY T. BARRA
SEBASTIAN GORKA
GARY COHN
JULIA HAHN
KATHLEEN TROIA MCFARLAND
AYDIN DOGAN
STRAUSS ZELNICK
TONY TIAH THEE KIAN
BRAD PARSCALE
DARA ORBACH
NICOLAS SARKOZY
MARGARET CHIN
RICHARD GOETTLICH
SALLY PRIEBUS
MICHAEL FASCITELLI
BONNIE HAYDON
RINAT AKHMETOV
STEVEN ROTH
ALBERT ROSS SR.
ERIC TRUMP
MARC SHORT
ZHUO RAN
CHRISTINE CICCONE
BRIAN BAUDREAU
JUSTIN WENIGER
RICHARD DEVOS
VIKTOR F. YANUKOVYCH
SAM BROWNBACK
GRACE MURDOCH
DINA POWELL
ELAINE CHAO
CHARLES KUSHNER
DAVID S. CORDISH
WILBUR ROSS
MILES BERGER
RUDY GIULIANI
BILL STEPIEN
SERHIY LYOVOCHKIN
JOHN KYL
DANIEL RIDLOFF
OLEG MISERVA
GEORGE T. CONWAY III
EMIN AGALAROV
BOB DOLE
MICHAEL POMPEO
MIKE FERGUSON
ANDRIY ZAIKA
ELVIRA KUDRYASHOVA
VANESSA TRUMP
GARRETT MURCH
REX TILLERSON
JOHN F. KELLY
IVANKA TRUMP
MITCH MCCONNELL
SHERI A. DILLON
RICK DEARBORN
STEPHEN A. SCHWARZMAN
VIKTOR KHRAPUNOV
REBEKAH MERCER
SHANNON MCGAHN
HAROLD G. HAMM
SAM CLOVIS
JASON D. MEISTER
SERGEI MILLIAN
CHRISTOPHER RUDDY
DONALD J. TRUMP
MEHMET ALI YALCINDAG
REINCE PRIEBUS
JOE HAGIN
ANGELA CHAO
ROGER KHAFIF
RHONA GRAFF RICCIO
"MATTHEW CALAMARI, JR."
ALLEN WEISSELBERG
ROB SPEYER
PAUL MANAFORT
MICHELLE BACHMANN
BARRY BENNETT
INDRA NOOYI
NICOLE KUSHNER MEYER
PETER THIEL
RUSSELL FLICKER
JOSHUA KUSHNER
LUCIUS JOSEPH RICCIO
SERYL KUSHNER
KEVIN MARINO
LEV LEVIEV
ERIK PRINCE
MATTHEW CALAMARI
ANTHONY SCARAMUCCI
MURRAY KUSHNER
ASHER ABEHSERA
DAVID WILDSTEIN
KELLYANNE CONWAY
RYAN ZINKE
OMAROSÉ ONEE MANIGAULT
SERGEY KISLYAK
SCOTT WALKER
ALAN HAMMER
IGOR SECHIN
WU XIAOHUI
RUSS VOUGHT
CAROLINE MAY
CARTER PAGE
JOSEPH MEYER
PAULO FIGUEIREDO FILHO
JOSH PITCOCK
KALPESH MEHTA
MIKE PENCE
DON MCGAHN
JASON D. GREENBLATT
PAM MULVANEY
ANDY PUZDER
H. B. HICKS
MIKE BASELICE
ADO MACHIDA
